mpi,mK,meta,mN,mLam,mSig,mXi,fpi,fK,feta
131.0,493.0,552.1654871859383,961.285863610149,1109.416103606377,1181.6238512414875,1293.5814816655534,91.22668475913345,109.90331636015638,118.96499965967305
202.0,484.0,537.1393694675747,1001.5392102128609,1127.7015824537073,1189.5422710889418,1284.7353067328002,95.58906546542266,110.9119631035096,118.0708221758534
286.0,466.0,507.0323483816158,1062.1954100476073,1150.3948890793984,1193.6696432337153,1260.208846408504,101.47660167896221,111.76907325111321,116.22861677363097
290.0,471.0,512.0832373722554,1066.4494001326882,1155.9156234191137,1199.9502554317578,1267.3750715739245,101.68355616917776,111.96970168964482,116.43907482431884
348.0,445.0,471.1413288461925,1115.2442971210337,1165.4013432677261,1189.9956302130818,1227.8485459674546,105.96010868241193,111.72625842278121,114.0013739407788
414.0,414.0,414.0000000020155,1178.3963889098231,1178.3963889096815,1178.3963889096824,1178.396388909544,110.43317764632762,110.43317764647215,110.43317764652032
422.0,422.0,422.0000000007671,1188.8903171816373,1188.890317181596,1188.8903171815964,1188.890317181556,110.83148349843603,110.83148349849756,110.83148349851808
