a1,a2,redχ2
-1.6041060096543391,-1.6323994357478928,1.394804628080046
-2.324106009654339,-2.1893994357478928,3.034269157524044
-0.21810600965433924,-1.5873994357478929,2.479722060224426
-1.7081060096543392,-1.6643994357478928,1.3395891005665723
-1.5511060096543392,-1.7213994357478928,1.434621773767216
-1.284106009654339,-2.418399435747893,2.7994858325150895
-0.006106009654339051,-2.127399435747893,2.4265160859111723
-1.265106009654339,-2.372399435747893,2.5944794635135824
-1.8481060096543391,-1.7753994357478928,1.3380216215631004
-2.934106009654339,-1.6293994357478927,3.442507487656847
-1.776106009654339,-1.6083994357478928,1.2885668133725028
-1.2621060096543393,-2.143399435747893,1.9364471147072875
-2.2261060096543392,-1.742399435747893,1.390478399631983
-1.2631060096543392,-2.308399435747893,2.362916149268912
-1.5871060096543392,-1.9033994357478927,1.5312765482916264
-2.190106009654339,-1.8993994357478927,1.6601499715499768
-1.039106009654339,-2.362399435747893,3.4764832469785336
-0.08510600965433923,-1.9403994357478929,2.2781140084722327
-0.4631060096543389,-2.4073994357478927,2.7294266654137997
-2.337106009654339,-1.5433994357478928,1.280440772129998
-1.096106009654339,-1.8983994357478928,1.721968162651257
-0.2171060096543389,-1.6503994357478928,2.3935967802030014
-2.694106009654339,-1.6373994357478927,2.2479783176999004
-1.0131060096543392,-1.880399435747893,2.7792823100111907
-0.2661060096543393,-2.006399435747893,2.2003801136581256
-2.013106009654339,-1.8343994357478928,1.4133207105302341
-1.996106009654339,-1.7013994357478928,1.2517242672410813
-1.726106009654339,-2.424399435747893,5.163037969283838
-1.5491060096543392,-1.6083994357478928,1.4373077374025138
-1.429106009654339,-1.8623994357478928,1.5487438309330075
-0.7341060096543393,-1.880399435747893,1.919289876692845
-1.941106009654339,-1.7733994357478928,1.3232965188947028
-0.313106009654339,-1.743399435747893,2.235375726722319
-2.8461060096543394,-1.9273994357478927,3.9358803337360992
-1.304106009654339,-2.390399435747893,2.683852919570216
-2.223106009654339,-1.611399435747893,1.2374566935364653
-0.27310600965433895,-2.0923994357478928,2.2579312720587406
